"","date","events","cloud_cover","max_dew_point_f","max_gust_speed_mph","max_humidity","max_sea_level_pressure_in","max_temperature_f","max_visibility_miles","max_wind_speed_mph","mean_humidity","mean_sea_level_pressure_in","mean_temperature_f","mean_visibility_miles","mean_wind_speed_mph","mean_dew_point_f","min_dew_point_f","min_humidity","min_sea_level_pressure_in","min_temperature_f","min_visibility_miles","precipitation_in","wind_dir_degrees"
"214",2015-07-10,"Rain",6,66,17,100,29.96,77,10,15,74,29.9,69,7,8,61,55,47,29.83,60,2,1.12,85
"215",2015-07-11,"None",1,61,17,61,30.04,83,10,13,49,30.01,76,10,8,57,54,37,29.96,68,10,0,282
"216",2015-07-12,"None",4,67,23,67,30,89,10,15,54,29.95,81,10,9,61,57,40,29.9,72,10,0,249
"217",2015-07-13,"None",6,67,17,93,29.95,77,10,15,81,29.91,72,10,6,65,61,68,29.86,67,7,0,68
"218",2015-07-14,"Rain",5,70,24,93,29.85,82,10,21,72,29.71,74,10,8,67,60,51,29.62,65,3,0.03,144
"219",2015-07-15,"Rain",7,72,26,100,29.89,82,10,20,87,29.67,75,10,7,68,57,73,29.58,67,7,0,99
"220",2015-07-16,"None",3,55,25,78,30.07,68,10,18,65,30.02,64,10,11,51,48,52,29.91,59,10,0,59
"221",2015-07-17,"None",5,61,25,84,30.12,75,10,17,72,30.08,68,10,9,58,53,60,30.03,60,10,0,151
"222",2015-07-18,"Rain",7,68,28,93,30.04,78,10,21,81,29.95,71,10,11,65,61,69,29.86,64,2,0.14,200
"223",2015-07-19,"Rain",6,74,25,93,29.87,90,10,20,73,29.8,81,10,9,71,68,52,29.7,71,7,0,206
"224",2015-07-02,"None",4,60,23,78,29.89,80,10,16,60,29.86,72,10,9,56,54,42,29.81,64,10,0,265
"225",2015-07-20,"None",4,73,28,93,29.71,92,10,20,62,29.66,81,10,9,66,52,30,29.63,70,7,0,272
"226",2015-07-21,"None",5,68,24,79,29.66,81,10,16,66,29.61,76,10,7,63,59,52,29.55,70,10,0,256
"227",2015-07-22,"None",3,66,29,84,29.81,84,10,22,58,29.67,77,10,12,55,48,31,29.57,69,10,0,309
"228",2015-07-23,"None",4,58,21,68,29.88,82,10,14,52,29.84,75,10,7,54,52,36,29.82,67,10,0,303
"229",2015-07-24,"Rain",4,61,28,81,29.94,81,10,20,60,29.9,74,10,9,56,51,39,29.88,66,7,0.01,320
"230",2015-07-25,"None",5,61,20,93,30.06,69,10,16,81,30.02,66,10,9,59,57,68,29.94,62,10,0,50
"231",2015-07-26,"Rain",7,68,22,93,30.05,79,10,14,79,30.01,71,10,8,64,60,64,29.96,63,10,0,181
"232",2015-07-27,"Rain",5,69,24,93,30.03,86,10,18,74,30,77,10,8,67,65,55,29.97,68,10,0.06,200
"233",2015-07-28,"None",3,70,18,97,29.99,86,10,16,80,29.96,78,10,8,69,66,63,29.93,70,10,0,181
"234",2015-07-29,"None",3,69,20,90,29.96,92,10,16,66,29.92,82,10,7,67,63,41,29.87,71,10,0,190
"235",2015-07-03,"None",2,56,17,73,30,76,10,15,56,29.94,70,10,9,53,49,38,29.87,63,10,0,63
"236",2015-07-30,"Rain",5,73,33,93,29.89,91,10,25,73,29.82,83,10,14,70,67,52,29.75,74,7,0.02,223
"237",2015-07-31,"None",2,71,31,93,29.81,89,10,23,61,29.78,81,10,11,59,52,29,29.75,73,10,0,263
"238",2015-07-04,"None",6,62,12,87,30.01,72,10,10,75,29.99,67,10,4,58,55,63,29.95,62,10,0,126
"239",2015-07-05,"None",1,61,22,90,30.13,83,10,13,67,30.05,72,9,8,59,57,43,29.99,61,7,0,252
"240",2015-07-06,"None",3,66,18,84,30.17,80,10,15,69,30.13,74,10,7,63,59,54,30.09,68,8,0,165
"241",2015-07-07,"Rain",5,72,29,93,30.12,84,10,23,77,30.05,75,10,10,68,63,61,29.92,65,10,0.02,160
"242",2015-07-08,"Rain",5,71,25,93,30,88,10,20,68,29.9,79,9,11,67,55,42,29.87,69,6,0,272
"243",2015-07-09,"Rain",6,60,18,93,30.03,69,10,15,77,29.98,66,10,8,57,55,61,29.87,63,5,0.15,67
"244",2015-08-01,"Rain",3,61,35,66,29.82,90,10,26,50,29.75,79,10,10,58,55,34,29.7,68,10,0,251
"245",2015-08-10,"None",3,62,24,87,30.06,83,10,21,67,30.02,73,10,10,59,56,47,29.97,63,10,0,212
"246",2015-08-11,"Rain",7,70,24,100,30.01,72,10,21,94,29.84,68,7,10,67,62,87,29.73,64,1,0.83,171
"247",2015-08-12,"None",4,70,21,100,29.88,85,10,15,70,29.76,77,10,9,63,56,40,29.71,68,10,0,257
"248",2015-08-13,"None",2,62,18,78,30.09,82,10,17,62,29.98,74,10,8,59,57,45,29.89,66,10,0,296
"249",2015-08-14,"None",1,61,23,78,30.14,86,10,17,57,30.11,75,10,9,57,52,36,30.06,63,10,0,225
"250",2015-08-15,"Rain-Thunderstorm",6,69,25,87,30.11,91,10,20,64,30.07,80,10,8,63,55,41,30.01,68,8,0.08,192
"251",2015-08-16,"None",3,68,22,93,30.09,90,10,17,70,30.07,79,10,7,66,64,46,30.04,67,10,0,221
"252",2015-08-17,"None",2,71,21,84,30.08,91,10,15,64,30.04,81,10,8,67,64,44,29.99,71,10,0,209
"253",2015-08-18,"Rain-Thunderstorm",4,71,38,90,30.03,87,10,29,76,30.01,79,8,8,69,65,61,29.97,71,0,0.14,192
"254",2015-08-19,"None",3,70,22,93,30.1,88,10,18,72,30.06,80,10,9,68,64,51,30.03,71,7,0,204
"255",2015-08-02,"None",1,63,26,73,29.9,88,10,20,52,29.86,78,10,11,54,51,30,29.82,68,10,0,254
"256",2015-08-20,"None",4,70,25,100,30.12,78,10,22,88,30.09,73,9,11,69,68,76,30.04,68,0,0,115
"257",2015-08-21,"Fog-Rain-Thunderstorm",7,75,20,100,30.05,83,10,14,87,30.02,75,4,6,70,66,74,29.98,67,0,0.63,91
"258",2015-08-22,"Fog",7,70,18,100,30.11,73,10,15,90,30.08,70,9,7,66,64,79,30.03,67,0,0,53
"259",2015-08-23,"Rain",8,70,25,100,30.06,71,10,14,97,30.01,69,3,8,68,66,93,29.96,67,0,0.02,22
"260",2015-08-24,"None",7,69,16,100,29.96,75,10,14,92,29.92,72,7,6,68,67,84,29.87,68,1,0,89
"261",2015-08-25,"Fog",6,72,21,100,29.91,81,10,17,81,29.89,74,6,9,69,66,62,29.83,67,0,0,133
"262",2015-08-26,"Rain",4,70,22,100,29.95,85,10,16,71,29.89,77,10,8,64,56,42,29.86,69,6,0,246
"263",2015-08-27,"None",2,56,22,68,30.07,82,10,17,54,29.98,74,10,10,54,52,39,29.94,65,10,0,289
"264",2015-08-28,"None",2,62,18,73,30.17,75,10,14,63,30.13,70,10,8,56,53,53,30.08,64,10,0,188
"265",2015-08-29,"None",3,58,22,78,30.19,82,10,16,59,30.14,73,10,7,55,53,39,30.08,63,10,0,242
"266",2015-08-03,"Thunderstorm",2,68,30,100,29.87,90,10,23,67,29.81,79,10,13,64,58,34,29.75,68,7,0,201
"267",2015-08-30,"None",5,65,26,78,30.09,88,10,17,58,30.03,79,10,9,61,58,37,29.98,69,10,0,254
"268",2015-08-31,"None",2,66,32,79,30,90,10,22,60,29.93,81,10,11,63,60,40,29.86,71,10,0,265
"269",2015-08-04,"Fog-Rain-Hail-Thunderstorm",5,72,51,90,29.88,89,10,38,68,29.83,78,8,9,66,62,46,29.76,66,0,0.49,222
"270",2015-08-05,"None",3,65,29,81,29.89,85,10,23,58,29.85,75,10,11,57,51,34,29.79,65,10,0,260
"271",2015-08-06,"None",3,55,22,67,29.93,82,10,18,51,29.9,74,10,9,53,50,35,29.86,65,10,0,278
"272",2015-08-07,"None",2,61,20,87,29.97,73,10,16,70,29.95,69,10,8,57,54,53,29.92,64,10,0,37
"273",2015-08-08,"None",4,61,NA,87,30.02,76,10,14,68,29.99,69,10,6,57,54,49,29.95,61,10,0,45
"274",2015-08-09,"None",5,61,26,93,30.05,73,10,20,80,30.03,68,10,9,59,57,66,30,62,10,0,36
"275",2015-09-01,"None",1,63,NA,78,30.06,79,10,15,65,30.02,74,10,9,62,59,52,29.96,69,10,0,54
"276",2015-09-10,"Rain",7,71,26,93,29.91,77,10,21,81,29.86,71,10,11,65,61,69,29.79,64,4,0.17,23
"277",2015-09-11,"Rain",7,63,33,100,29.82,73,10,25,84,29.75,68,8,10,61,59,68,29.69,63,2,0.66,15
"278",2015-09-12,"Rain",6,63,17,100,29.89,71,10,16,87,29.84,66,10,7,61,59,73,29.79,60,6,0.01,118
"279",2015-09-13,"Rain",8,65,23,100,29.79,66,10,20,94,29.75,65,6,10,62,59,87,29.71,63,0,0.38,85
"280",2015-09-14,"None",3,63,36,90,30.07,72,10,24,70,29.88,65,10,15,54,51,49,29.72,57,10,0,267
"281",2015-09-15,"None",0,58,22,67,30.25,84,10,16,52,30.2,73,10,11,54,51,36,30.09,62,10,0,278
"282",2015-09-16,"None",1,64,21,78,30.32,81,10,13,62,30.26,73,10,7,59,57,45,30.2,65,10,0,207
"283",2015-09-17,"None",1,65,20,84,30.19,89,10,14,58,30.1,77,10,7,59,53,31,30.02,64,10,0,231
"284",2015-09-18,"None",1,62,22,87,30.04,85,10,17,64,30,75,10,8,60,57,40,29.95,65,10,0,199
"285",2015-09-19,"None",4,67,21,100,30,79,10,17,74,29.95,71,8,10,62,57,48,29.87,62,1,0,198
"286",2015-09-02,"None",0,68,21,87,30.04,91,10,15,63,29.94,79,10,9,63,59,38,29.85,66,9,0,231
"287",2015-09-20,"None",4,66,24,90,30.13,75,10,18,63,29.96,66,10,12,55,46,36,29.83,57,10,0,295
"288",2015-09-21,"None",3,48,24,72,30.3,66,10,20,60,30.24,60,10,11,46,45,48,30.14,53,10,0,26
"289",2015-09-22,"None",6,57,20,93,30.34,68,10,16,76,30.31,62,10,9,53,48,58,30.28,56,10,0,30
"290",2015-09-23,"None",2,54,15,93,30.27,68,10,10,68,30.24,61,10,6,49,42,42,30.21,54,10,0,61
"291",2015-09-24,"None",1,54,20,78,30.39,74,10,16,62,30.31,66,10,9,52,48,46,30.22,58,10,0,26
"292",2015-09-25,"None",5,55,21,86,30.44,66,10,17,72,30.4,61,10,9,50,47,58,30.38,55,10,0,51
"293",2015-09-26,"None",4,49,28,77,30.53,63,10,20,64,30.49,57,10,10,45,39,51,30.4,50,10,0,42
"294",2015-09-27,"None",2,57,18,93,30.52,64,10,15,75,30.44,56,10,7,49,42,57,30.35,48,10,0,222
"295",2015-09-28,"None",4,66,20,93,30.34,78,10,16,75,30.23,67,10,7,60,53,56,30.15,56,10,0,185
"296",2015-09-29,"Fog-Rain",7,70,25,100,30.14,84,10,21,79,30.06,75,7,9,68,64,58,29.98,65,0,0.04,186
"297",2015-09-03,"Rain-Thunderstorm",4,68,14,84,29.94,82,10,12,73,29.87,76,9,6,66,65,62,29.83,70,7,0.01,91
"298",2015-09-30,"Fog-Rain",8,73,38,100,29.96,78,10,32,89,29.77,68,6,13,67,51,78,29.63,57,0,2.46,182
"299",2015-09-04,"Rain",6,69,32,93,30.27,72,10,23,78,30.14,67,9,11,60,55,63,29.94,62,5,0,47
"300",2015-09-05,"None",1,58,16,93,30.31,73,10,14,70,30.26,66,10,7,54,49,47,30.22,58,10,0,94
"301",2015-09-06,"None",1,63,23,90,30.22,82,10,18,69,30.16,72,10,10,59,57,48,30.1,61,10,0,190
"302",2015-09-07,"None",1,65,25,73,30.1,93,10,21,55,30,80,10,12,59,51,36,29.92,66,10,0,231
"303",2015-09-08,"None",2,72,24,84,29.97,96,10,21,63,29.94,84,9,7,67,64,41,29.9,72,6,0.2,225
"304",2015-09-09,"None",3,71,28,84,29.94,93,10,22,60,29.85,83,10,13,68,62,36,29.78,72,10,0,214
"305",2015-10-01,"Rain",7,50,38,77,30.24,59,10,30,72,30.13,57,10,17,48,45,67,29.97,54,10,0,22
"306",2015-10-10,"None",2,55,37,74,30.09,61,10,29,53,30.02,55,10,10,40,31,32,29.8,48,10,0,313
"307",2015-10-11,"None",4,49,28,86,30.03,68,10,23,63,29.9,58,10,14,45,43,39,29.79,48,10,0,222
"308",2015-10-12,"None",0,56,NA,89,29.86,76,10,15,65,29.8,64,10,8,51,48,41,29.74,51,10,0,199
"309",2015-10-13,"Fog-Rain",6,62,21,100,29.93,72,10,16,84,29.6,64,7,8,58,52,68,29.47,55,0,0.12,148
"310",2015-10-14,"None",3,57,28,84,29.81,68,10,21,65,29.66,60,10,13,46,37,45,29.56,51,10,0,262
"311",2015-10-15,"None",1,42,24,71,29.96,62,10,16,55,29.91,55,10,9,38,36,39,29.82,47,10,0,266
"312",2015-10-16,"Rain",3,45,29,74,29.98,61,10,22,57,29.9,56,10,12,40,35,39,29.84,50,10,0,262
"313",2015-10-17,"None",4,40,29,83,30.14,56,10,23,58,30.01,48,10,12,32,24,32,29.95,40,10,0,287
"314",2015-10-18,"None",2,29,30,64,30.33,47,10,22,46,30.22,40,10,11,19,13,28,30.13,33,10,0,319
"315",2015-10-19,"None",2,31,22,69,30.45,48,10,17,48,30.34,40,10,11,20,15,26,30.18,31,10,0,275
"316",2015-10-02,"Rain",8,45,36,80,30.36,54,10,25,73,30.28,52,10,20,43,40,66,30.22,50,7,0.08,28
"317",2015-10-20,"None",6,43,28,65,30.21,66,10,21,51,30.13,56,10,12,37,32,36,30.07,45,10,0,234
"318",2015-10-21,"Rain",8,54,16,100,30.33,61,10,13,76,30.28,57,9,6,48,42,51,30.17,53,4,0.07,68
"319",2015-10-22,"Fog",7,56,29,100,30.28,73,10,24,71,30.13,63,7,11,52,47,41,29.96,52,0,0,187
"320",2015-10-23,"None",2,38,35,60,30.37,59,10,26,49,30.19,50,10,14,31,26,38,30.03,40,10,0,320
"321",2015-10-24,"None",8,42,16,80,30.44,49,10,13,71,30.37,44,10,6,35,28,61,30.25,38,10,0,4
"322",2015-10-25,"Rain",7,54,35,89,30.19,63,10,24,72,30.07,56,10,12,47,35,55,29.98,48,7,0.03,233
"323",2015-10-26,"None",2,36,26,70,30.53,52,10,18,57,30.4,48,10,9,33,30,44,30.21,43,10,0,294
"324",2015-10-27,"None",4,41,22,83,30.62,54,10,12,62,30.56,46,10,6,34,28,41,30.53,38,10,0,178
"325",2015-10-28,"Rain",7,61,40,100,30.57,65,10,29,83,30.27,54,7,17,48,39,66,29.79,42,2,0.36,114
"326",2015-10-29,"Rain",7,66,39,100,29.75,75,10,29,65,29.55,66,8,17,57,30,30,29.44,57,2,0.73,206
"327",2015-10-03,"Rain",8,47,37,80,30.46,54,10,29,72,30.42,52,9,22,43,41,64,30.35,49,5,0.01,39
"328",2015-10-30,"None",1,37,31,53,30.09,61,10,23,41,29.83,52,10,13,31,26,28,29.64,42,10,0,289
"329",2015-10-31,"None",4,39,17,71,30.22,52,10,13,58,30.14,45,10,7,31,26,44,30.06,38,10,0,224
"330",2015-10-04,"None",7,45,35,77,30.44,56,10,28,66,30.39,54,10,18,42,38,54,30.3,51,10,0,40
"331",2015-10-05,"None",6,50,18,96,30.29,61,10,15,80,30.2,55,10,9,47,41,64,30.09,48,10,0,14
"332",2015-10-06,"None",1,49,15,89,30.08,64,10,12,71,30,56,10,6,46,43,52,29.94,48,10,0,344
"333",2015-10-07,"None",3,54,17,77,29.99,72,10,13,61,29.95,62,10,7,47,43,44,29.9,52,10,0,299
"334",2015-10-08,"None",2,50,18,83,30.16,62,10,13,61,30.11,57,10,9,44,35,39,30,51,10,0,14
"335",2015-10-09,"Rain",7,63,40,93,30.12,72,10,31,75,29.85,62,8,15,57,49,57,29.72,52,2,0.34,210
"336",2015-11-01,"Rain",6,50,28,80,30.07,62,10,22,73,29.91,55,10,11,46,39,65,29.79,48,10,0,207
"337",2015-11-10,"Rain",7,47,22,80,30.31,53,10,17,67,30.15,49,10,8,40,36,54,29.89,44,7,0.07,37
"338",2015-11-11,"Rain",8,49,33,93,29.98,50,10,25,90,29.85,48,4,16,45,42,86,29.78,46,2,0.54,13
"339",2015-11-12,"Rain",8,54,23,100,29.98,57,10,18,90,29.75,52,8,7,47,42,80,29.42,46,0,0.04,173
"340",2015-11-13,"Rain",3,54,39,86,29.62,59,10,29,65,29.51,53,10,18,39,30,44,29.43,46,10,0.01,257
"341",2015-11-14,"None",2,31,43,62,30.12,47,10,31,51,29.89,42,10,16,25,19,39,29.63,37,10,0,279
"342",2015-11-15,"None",6,35,23,64,30.21,54,10,18,54,30.12,46,10,10,30,25,44,30.05,37,10,0,254
"343",2015-11-16,"None",3,37,28,66,30.41,61,10,21,42,30.18,50,10,11,29,14,17,30.09,39,10,0,306
"344",2015-11-17,"None",1,31,17,76,30.6,45,10,14,62,30.54,39,10,7,26,20,48,30.42,33,10,0,35
"345",2015-11-18,"None",2,38,17,85,30.61,48,10,15,69,30.55,40,10,6,33,29,53,30.46,31,10,0,158
"346",2015-11-19,"Rain",8,50,20,89,30.44,55,10,16,83,30.3,49,10,9,44,39,77,30.06,43,10,0,132
"347",2015-11-02,"None",2,48,23,83,30.11,64,10,18,63,30.02,58,10,7,42,39,43,29.94,51,10,0,251
"348",2015-11-20,"Rain",6,58,29,100,30.18,61,10,25,69,30.02,53,7,13,47,26,38,29.94,44,2,0.86,266
"349",2015-11-21,"None",4,31,16,70,30.3,48,10,13,60,30.2,43,10,8,28,23,49,30.04,38,10,0,1
"350",2015-11-22,"Rain",8,44,25,89,30,49,10,20,80,29.91,43,9,7,39,31,70,29.82,36,5,0.3,341
"351",2015-11-23,"Rain",3,36,31,85,30.15,42,10,22,56,29.94,36,10,13,18,5,27,29.8,30,10,0.04,316
"352",2015-11-24,"None",1,21,22,50,30.53,44,10,15,42,30.33,37,10,8,16,11,33,30.16,29,10,0,271
"353",2015-11-25,"None",1,34,18,76,30.88,44,10,14,63,30.76,37,10,6,27,20,49,30.54,30,10,0,83
"354",2015-11-26,"None",6,49,28,100,30.87,59,10,22,79,30.77,49,9,10,42,34,57,30.64,38,5,0,180
"355",2015-11-27,"None",7,52,32,100,30.63,64,10,26,78,30.41,56,9,14,49,47,56,30.15,48,5,0,209
"356",2015-11-28,"Rain",8,50,23,93,30.2,60,10,18,80,30.16,51,9,10,43,36,67,30.11,41,4,0.21,358
"357",2015-11-29,"None",4,33,20,79,30.42,44,10,16,58,30.26,38,10,10,23,15,36,30.19,32,10,0,326
"358",2015-11-03,"None",1,44,NA,82,30.25,73,10,16,57,30.13,60,10,8,42,40,31,30.06,47,10,0,281
"359",2015-11-30,"None",6,26,17,75,30.53,38,10,14,65,30.46,33,10,9,23,18,54,30.39,28,10,0,65
"360",2015-11-04,"None",0,49,16,83,30.4,60,10,13,69,30.33,55,10,7,45,43,55,30.26,49,10,0,129
"361",2015-11-05,"None",4,61,31,100,30.3,76,10,22,77,30.2,63,9,12,55,48,53,30.09,50,5,0,224
"362",2015-11-06,"None",4,62,32,93,30.07,73,10,26,79,29.9,68,10,15,61,54,64,29.71,62,10,0,222
"363",2015-11-07,"None",6,45,33,57,30.02,69,10,25,48,29.93,60,10,13,38,33,39,29.83,50,10,0,280
"364",2015-11-08,"None",0,34,25,65,30.38,56,10,18,48,30.25,50,10,12,30,24,30,30.04,44,10,0,283
"365",2015-11-09,"None",2,36,20,70,30.43,60,10,16,52,30.37,51,10,9,32,30,33,30.32,41,10,0,237
"366",2015-12-01,"Rain",7,43,17,96,30.4,45,10,15,83,30.24,39,8,6,35,25,69,30.01,32,1,0.14,109
